"bsq_situacao_finalizada";"bsq_situacao_por";"finalizada_por"
"68";"96";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Conclusão cancelada (136)
Concluso (12)
Concluso para admissibilidade recursal (69)
Concluso para decisão (67)
Concluso para despacho (66)
Concluso para julgamento (68)
Decisão denegatória de admissibilidade proferida (14)
Decisão em embargos de declaração proferida (15)
Decisão homologatória proferida (16)
Decisão proferida (17)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Despacho proferido (21)
Determinado arquivamento do procedimento investigatório (3)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Justiça gratuita concedida por decisão (30)
Justiça gratuita não concedida (31)
Justiça gratuita revogada (32)
Liminar deferida (33)
Liminar indeferida (89)
Liquidação/execução iniciada (91)
Medida protetiva homologada ou revogada (34)
Migração de Sistema (155)
Procedimento incidental ou cautelar resolvido (140)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Remetido para outra instância (134)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)
Transação penal cumprida (129)
Transitado em julgado (50)"
"68";"48";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Conclusão cancelada (136)
Concluso (12)
Concluso para admissibilidade recursal (69)
Concluso para decisão (67)
Concluso para despacho (66)
Concluso para julgamento (68)
Decisão denegatória de admissibilidade proferida (14)
Decisão em embargos de declaração proferida (15)
Decisão homologatória proferida (16)
Decisão proferida (17)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Despacho proferido (21)
Determinado arquivamento do procedimento investigatório (3)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Justiça gratuita concedida por decisão (30)
Justiça gratuita não concedida (31)
Justiça gratuita revogada (32)
Liminar deferida (33)
Liminar indeferida (89)
Liquidação/execução iniciada (91)
Medida protetiva homologada ou revogada (34)
Migração de Sistema (155)
Procedimento incidental ou cautelar resolvido (140)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Remetido para outra instância (134)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)
Transação penal cumprida (129)
Transitado em julgado (50)"
"68";"49";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Conclusão cancelada (136)
Concluso (12)
Concluso para admissibilidade recursal (69)
Concluso para decisão (67)
Concluso para despacho (66)
Concluso para julgamento (68)
Decisão denegatória de admissibilidade proferida (14)
Decisão em embargos de declaração proferida (15)
Decisão homologatória proferida (16)
Decisão proferida (17)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Despacho proferido (21)
Determinado arquivamento do procedimento investigatório (3)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Justiça gratuita concedida por decisão (30)
Justiça gratuita não concedida (31)
Justiça gratuita revogada (32)
Liminar deferida (33)
Liminar indeferida (89)
Liquidação/execução iniciada (91)
Medida protetiva homologada ou revogada (34)
Migração de Sistema (155)
Procedimento incidental ou cautelar resolvido (140)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Remetido para outra instância (134)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)
Transação penal cumprida (129)
Transitado em julgado (50)"
"68";"129";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Conclusão cancelada (136)
Concluso (12)
Concluso para admissibilidade recursal (69)
Concluso para decisão (67)
Concluso para despacho (66)
Concluso para julgamento (68)
Decisão denegatória de admissibilidade proferida (14)
Decisão em embargos de declaração proferida (15)
Decisão homologatória proferida (16)
Decisão proferida (17)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Despacho proferido (21)
Determinado arquivamento do procedimento investigatório (3)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Justiça gratuita concedida por decisão (30)
Justiça gratuita não concedida (31)
Justiça gratuita revogada (32)
Liminar deferida (33)
Liminar indeferida (89)
Liquidação/execução iniciada (91)
Medida protetiva homologada ou revogada (34)
Migração de Sistema (155)
Procedimento incidental ou cautelar resolvido (140)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Remetido para outra instância (134)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)
Transação penal cumprida (129)
Transitado em julgado (50)"
"68";"50";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Conclusão cancelada (136)
Concluso (12)
Concluso para admissibilidade recursal (69)
Concluso para decisão (67)
Concluso para despacho (66)
Concluso para julgamento (68)
Decisão denegatória de admissibilidade proferida (14)
Decisão em embargos de declaração proferida (15)
Decisão homologatória proferida (16)
Decisão proferida (17)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Despacho proferido (21)
Determinado arquivamento do procedimento investigatório (3)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Justiça gratuita concedida por decisão (30)
Justiça gratuita não concedida (31)
Justiça gratuita revogada (32)
Liminar deferida (33)
Liminar indeferida (89)
Liquidação/execução iniciada (91)
Medida protetiva homologada ou revogada (34)
Migração de Sistema (155)
Procedimento incidental ou cautelar resolvido (140)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Remetido para outra instância (134)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)
Transação penal cumprida (129)
Transitado em julgado (50)"
"23";"2";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"10";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"81";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"9";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"23";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"24";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"26";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"65";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"91";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"37";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"61";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"154";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"23";"41";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Denúncia/queixa recebida (9)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Recebido pelo Tribunal (61)
Redistribuído para outro Tribunal (154)
Remetido (41)"
